,name,state,group,job_type,tags,createdAt,train_loss,train_auroc,train_step_loss,_wandb,val_loss,_timestamp,_step,_runtime,val_auroc,lr,c_th,seed,epochs,layers,act_name,c_metric,head_type,pool_type,batch_size,label_type,model_name,val_dst_path,train_dst_path,mlp_hidden_size,max_val_data_size,max_train_data_size,gradient_accumulation_steps,val_auroc_max,score_func,v_c_type
0,kind-pond-1772,finished,triviaqa_long,include,"['seed_9999', 'soft']",2024-05-13T12:59:30,0.16629296875,0.9982774495963744,0.1474609375,{'runtime': 1881},0.5995318700396826,1715607052.1721315,1259,1883.6169786453247,0.745522623431533,0.0001,0.3,9999,10,all,resid_post,include,mlp_small,last_ans,16,soft,vicuna-13b-v1.1,cached_results/vicuna-13b-v1.1/long/triviaqa_validation,cached_results/vicuna-13b-v1.1/long/triviaqa_train,320.0,1000,2000,1,0.7551614498090562,,
1,hardy-sun-1770,finished,triviaqa_long,include,"['seed_9999', 'soft']",2024-05-13T12:59:24,0.632796875,0.8510213641270035,0.48046875,{'runtime': 1899},0.6496775793650794,1715607063.7368245,1259,1902.4904234409332,0.7073509103927987,0.0001,0.3,9999,10,all,resid_post,include,mlp_small,mean_all,16,soft,vicuna-13b-v1.1,cached_results/vicuna-13b-v1.1/long/triviaqa_validation,cached_results/vicuna-13b-v1.1/long/triviaqa_train,320.0,1000,2000,1,0.7073509103927987,,
2,lucky-terrain-1766,finished,triviaqa_long,include,"['seed_777', 'soft']",2024-05-13T12:51:04,0.18893359375,0.9974268934387658,0.23828125,{'runtime': 2085},0.591858878968254,1715606750.1016328,1259,2087.671387910843,0.751851899208947,0.0001,0.3,777,10,all,resid_post,include,mlp,last_ans,16,soft,vicuna-13b-v1.1,cached_results/vicuna-13b-v1.1/long/triviaqa_validation,cached_results/vicuna-13b-v1.1/long/triviaqa_train,2.0,1000,2000,1,0.7572328491543917,,
3,eager-shape-1767,finished,triviaqa_long,include,"['seed_9999', 'soft']",2024-05-13T12:51:18,0.20965625,0.9965061275416194,0.11279296875,{'runtime': 2110},0.6134982638888888,1715606790.1675825,1259,2115.319480419159,0.7520948411074742,0.0001,0.3,9999,10,all,resid_post,include,mlp,last_ans,16,soft,vicuna-13b-v1.1,cached_results/vicuna-13b-v1.1/long/triviaqa_validation,cached_results/vicuna-13b-v1.1/long/triviaqa_train,2.0,1000,2000,1,0.755206202264048,,
4,gentle-resonance-1765,finished,coqa_long,include,"['seed_9999', 'soft']",2024-05-13T12:51:03,0.116890625,0.9986663614403918,0.146484375,{'runtime': 4125},0.5712890625,1715608790.115757,1259,4128.19916510582,0.764153814935065,0.0001,0.3,9999,10,all,resid_post,include,mlp,last_ans,16,soft,vicuna-13b-v1.1,cached_results/vicuna-13b-v1.1/long/coqa_validation,cached_results/vicuna-13b-v1.1/long/coqa_train,2.0,1000,2000,1,0.765625,,
5,daily-elevator-1769,finished,medmcqa_long,include,"['seed_9999', 'soft']",2024-05-13T12:55:48,0.2941171875,0.967736030207844,0.1650390625,{'runtime': 692},0.4124193948412698,1715605641.2817605,1259,694.7256965637207,0.7248192771084337,0.0001,0.3,9999,10,all,resid_post,include,mlp_small,mean_ans,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/medmcqa_validation,cached_results/vicuna-7b-v1.1/long/medmcqa_train,256.0,1000,2000,1,0.731194188518781,,
6,decent-armadillo-1768,finished,sciq_long,include,"['seed_9999', 'soft']",2024-05-13T12:51:27,0.093822265625,0.9998074346174124,0.125,{'runtime': 882},0.8040558345734127,1715605570.5100403,1259,884.5567893981934,0.786976911976912,0.0001,0.3,9999,10,all,resid_post,include,mlp,last_ans,16,soft,vicuna-13b-v1.1,cached_results/vicuna-13b-v1.1/long/sciq_validation,cached_results/vicuna-13b-v1.1/long/sciq_train,2.0,1000,2000,1,0.7882978949155419,,
7,hardy-blaze-1771,finished,triviaqa_long,include,"['seed_9999', 'soft']",2024-05-13T12:59:29,0.20903515625,0.9979124661412192,0.1513671875,{'runtime': 1883},0.5931609623015873,1715607053.2406456,1259,1885.8694217205048,0.7426584663120567,0.0001,0.3,9999,10,all,resid_post,include,mlp_small,mean_ans,16,soft,vicuna-13b-v1.1,cached_results/vicuna-13b-v1.1/long/triviaqa_validation,cached_results/vicuna-13b-v1.1/long/triviaqa_train,320.0,1000,2000,1,0.7530431669394435,,
8,mild-yogurt-1763,finished,medmcqa_long,include,"['seed_777', 'soft']",2024-05-13T12:50:55,0.204193359375,0.9991619022869024,0.2138671875,{'runtime': 1255},0.6310376364087301,1715605911.7875254,1259,1257.93603348732,0.6893394520928938,0.0001,0.3,777,10,all,resid_post,include,mlp,last_ans,16,soft,vicuna-13b-v1.1,cached_results/vicuna-13b-v1.1/long/medmcqa_validation,cached_results/vicuna-13b-v1.1/long/medmcqa_train,2.0,1000,2000,1,0.7091141704908914,,
9,smooth-bird-1759,finished,MedQA-USMLE-4-options_long,include,"['seed_777', 'soft']",2024-05-13T12:50:21,0.2261484375,0.9976203939895176,0.09326171875,{'runtime': 3553},0.6605592757936508,1715608174.6548228,1259,3556.084730863571,0.6236610009123779,0.0001,0.3,777,10,all,resid_post,include,mlp,last_ans,16,soft,vicuna-13b-v1.1,cached_results/vicuna-13b-v1.1/long/MedQA-USMLE-4-options_validation,cached_results/vicuna-13b-v1.1/long/MedQA-USMLE-4-options_train,2.0,1000,2000,1,0.6356643221611288,,
